FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
1993-09-15,09:25:37,   4.250, -75.553,   4.0,  2.2,,QUINDIO,PIJAO,8, 1.10,168,  7.9, 15.2, 22.3,Revisado
1994-04-07,14:20:39,   4.614, -75.623, 144.2,  2.4,,QUINDIO,CIRCASIA,4, 0.50,237, 13.3, 11.4, 17.9,Revisado
1994-06-01,01:52:57,   4.520, -75.540,   0.0,  2.0,,QUINDIO,SALENTO,0, 1.70,0,  0.0,  0.0,  0.0,Revisado
1994-11-10,19:58:42,   4.413, -75.767, 123.9,  2.9,,QUINDIO,LA_TEBAIDA,11, 1.30,202, 22.1, 23.7, 22.0,Revisado
1995-01-01,14:46:16,   4.468, -75.552,   0.0,  3.1,,QUINDIO,CALARCA,11, 1.80,147, 26.5, 26.6, 20.8,Revisado
1995-02-07,04:45:07,   4.454, -75.806, 166.1,  3.4,,QUINDIO,LA_TEBAIDA,12, 0.90,114, 13.9, 15.6, 37.1,Revisado
1995-06-03,12:36:37,   4.580, -75.812, 155.0,  3.4,,QUINDIO,MONTENEGRO,15, 0.40,109,  5.7,  7.8, 12.9,Revisado
1995-08-16,11:29:49,   4.378, -75.624,   6.9,  2.1,,QUINDIO,CORDOBA,6, 0.40,132,  2.8,  4.9,  7.6,Revisado
1995-10-02,00:10:14,   4.199, -75.804, 177.9,  4.1,,QUINDIO,GENOVA,11, 0.80,88,  7.0,  8.5, 25.8,Revisado
1995-12-02,13:56:35,   4.096, -75.736,   5.0,  2.4,,QUINDIO,GENOVA,9, 0.60,167,  2.9,  4.2,  6.3,Revisado
1996-02-10,20:22:34,   4.676, -75.664, 134.6,  3.7,,QUINDIO,FILANDIA,12, 0.80,65,  5.7,  6.7, 17.9,Revisado
1996-02-26,15:36:55,   4.726, -75.587, 140.6,  2.7,,QUINDIO,SALENTO,9, 0.90,113,  7.1, 10.8, 15.8,Revisado
1996-03-10,03:43:00,   4.581, -75.605, 100.1,  2.3,,QUINDIO,CALARCA,4, 1.10,215, 13.0, 30.7, 80.4,Revisado
1996-04-02,06:50:26,   4.482, -75.759,   4.0,  2.3,,QUINDIO,LA_TEBAIDA,6, 0.70,187, 10.7,  8.3, 17.9,Revisado
1996-06-06,08:21:56,   4.681, -75.563, 152.0,  3.1,,QUINDIO,SALENTO,10, 0.60,184,  8.9, 10.9, 14.7,Revisado
