FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
2012-06-08,11:41:14,   6.832, -73.131, 144.7,  3.3,  3.9,SANTANDER,LOS_SANTOS,15, 0.50,127,  3.5,  4.6,  6.0,Revisado
2012-06-09,15:45:48,   6.796, -73.134, 141.2,  3.5,  3.5,SANTANDER,LOS_SANTOS,15, 0.50,138,  3.1,  4.4,  6.7,Revisado
2012-06-10,15:21:41,   6.820, -73.119, 146.0,  4.0,  3.8,SANTANDER,LOS_SANTOS,16, 0.50,184,  2.8,  4.2,  5.4,Revisado
2012-06-15,06:59:21,   6.803, -73.146, 150.6,  4.1,  4.0,SANTANDER,LOS_SANTOS,18, 0.40,126,  2.3,  2.9,  4.2,Revisado
2012-06-16,06:08:46,   6.834, -73.132, 146.7,  3.0,  3.3,SANTANDER,LOS_SANTOS,16, 0.50,136,  2.6,  3.8,  5.5,Revisado
2012-06-16,20:00:01,   6.807, -73.141, 140.8,  3.0,  3.1,SANTANDER,LOS_SANTOS,15, 0.40,137,  2.4,  3.4,  4.9,Revisado
2012-06-20,17:38:31,   6.575, -74.122,  28.8,  4.4,  4.5,SANTANDER,PUERTO_PARRA,19, 0.50,57,  2.5,  2.2,  4.1,Revisado
2012-06-21,20:59:55,   6.954, -73.069, 159.5,  3.4,  3.5,SANTANDER,PIEDECUESTA,17, 0.50,165,  3.4,  4.9,  5.5,Revisado
2012-06-24,02:59:38,   5.747, -73.916, 105.8,  3.1,  3.9,SANTANDER,ALBANIA,23, 0.50,66,  2.4,  2.9,  7.8,Revisado
2012-06-26,19:02:26,   6.798, -73.147, 148.6,  3.8,  4.1,SANTANDER,LOS_SANTOS,19, 0.50,103,  3.4,  4.2,  5.6,Revisado
2012-06-30,15:35:13,   6.812, -73.151, 150.4,  3.2,  3.8,SANTANDER,LOS_SANTOS,19, 0.40,56,  2.6,  2.8,  4.3,Revisado
2012-07-09,09:50:37,   7.369, -73.123,   4.0,  4.4,  4.2,SANTANDER,RIONEGRO,11, 0.50,101,  2.1,  2.3,  5.2,Revisado
2012-08-01,17:06:24,   6.808, -73.143, 146.7,  3.6,  3.9,SANTANDER,LOS_SANTOS,27, 0.50,55,  3.1,  3.3,  4.9,Revisado
2012-08-03,18:37:13,   6.824, -73.145, 150.6,  3.1,  3.7,SANTANDER,LOS_SANTOS,20, 0.50,65,  3.6,  3.9,  5.5,Revisado
2012-08-04,23:07:23,   6.836, -73.159, 142.4,  3.0,  3.5,SANTANDER,LOS_SANTOS,18, 0.40,64,  2.6,  2.7,  4.7,Revisado
2012-08-05,16:40:08,   6.796, -73.152, 147.5,  3.1,  3.6,SANTANDER,LOS_SANTOS,18, 0.40,71,  3.5,  3.6,  5.1,Revisado
2012-08-06,00:04:19,   6.767, -73.151, 139.6,  3.6,  4.0,SANTANDER,LOS_SANTOS,17, 0.50,65,  3.2,  3.0,  5.0,Revisado
2012-08-06,15:31:52,   6.802, -73.141, 149.4,  3.9,  3.9,SANTANDER,LOS_SANTOS,19, 0.40,66,  2.6,  2.6,  4.6,Revisado
2012-08-08,06:20:55,   6.766, -73.144, 145.6,  3.0,  3.2,SANTANDER,LOS_SANTOS,17, 0.40,66,  2.8,  2.6,  4.8,Revisado
2012-08-08,17:44:39,   6.825, -73.131, 150.9,  3.9,  4.0,SANTANDER,LOS_SANTOS,17, 0.50,66,  3.5,  3.5,  6.2,Revisado
2012-08-10,22:35:46,   6.812, -73.150, 147.9,  3.8,  4.0,SANTANDER,LOS_SANTOS,25, 0.50,55,  2.9,  3.1,  4.8,Revisado
2012-08-13,03:30:13,   6.822, -73.125, 143.1,  3.0,  3.4,SANTANDER,LOS_SANTOS,17, 0.40,67,  2.6,  2.6,  5.2,Revisado
